Schenectady,NY,42.813297,-73.941177
Saratoga Springs,NY,43.083313,-73.809898
Rye,NY,40.981613,-73.691925
Rome,NY,43.227978,-75.484924
Rensselaer,NY,42.644516,-73.747253
Plattsburgh,NY,44.699764,-73.471428
Peekskill,NY,41.292282,-73.930725
Oneida,NY,43.095654,-75.669487
New Rochelle,NY,40.922794,-73.791809
Mount Vernon,NY,40.916695,-73.836815
Middletown,NY,41.450123,-74.429253
Lockport,NY,43.170048,-78.710464
Lackawanna,NY,42.820339,-78.843399
Kingston,NY,41.931828,-74.011108
Johnstown,NY,43.010265,-74.383682
Gloversville,NY,43.052845,-74.363762
Glens Falls,NY,43.311825,-73.655975
Geneva,NY,42.868473,-76.996490
Dunkirk,NY,42.481365,-79.343887
Cortland,NY,42.604729,-76.187370
Corning,NY,42.148773,-77.062103
Cohoes,NY,42.774475,-73.708412
South Lake Tahoe,CA,38.936604,-119.986649
Binghamton,NY,42.098843,-75.920647
Amsterdam,NY,42.940933,-74.200806
Mason,OH,39.368340,-84.329590
Carpinteria,CA,34.395958,-119.521042
Madeira Beach,FL,27.798244,-82.798462
Hoboken,NJ,40.745255,-74.034775
Port Hueneme,CA,34.155834,-119.202789
Auburn,NY,42.933334,-76.566666
Jamestown,NY,42.095554,-79.238609
Fulton,MO,38.846668,-91.948059
Bedford,OH,41.392502,-81.534447
Stuart,FL,27.192223,-80.243057
San Angelo,TX,31.442778,-100.450279
Woodbridge,NJ,40.560001,-74.290001
Vista,CA,33.193611,-117.241112
South Bend,IN,41.676388,-86.250275
Davenport,IA,41.543056,-90.590836
Sparks,NV,39.554443,-119.735558
Green Bay,WI,44.513332,-88.015831
San Mateo,CA,37.554169,-122.313057
Tyler,TX,32.349998,-95.300003
League City,TX,29.499722,-95.089722
Lewisville,TX,33.038334,-97.006111
Meridian,ID,43.614166,-116.398888
Waterbury,CT,41.556110,-73.041389
Jurupa Valley,CA,34.000000,-117.483330
West Palm Beach,FL,26.709723,-80.064163
Antioch,CA,38.005001,-121.805832
High Point,NC,35.970554,-79.997498
Miami Gardens,FL,25.942122,-80.269920
Murrieta,CA,33.569443,-117.202499
Springfield,IL,39.799999,-89.650002
El Monte,CA,34.073334,-118.027496
West Jordan,UT,40.606388,-111.976112
College Station,TX,30.601389,-96.314445
Fairfield,CA,38.257778,-122.054169
Evansville,IN,37.977222,-87.550552
Cambridge,MA,42.373611,-71.110558
Richardson,TX,32.965557,-96.715836
Berkeley,CA,37.871666,-122.272781
Columbia,MO,38.951561,-92.328636
